heading,post
"
					Again...
				","

							I've been in and out of suicide thoughts for about a year now. And i'm only 14!!. I bin drinking all weekend. I'm scared. I think I need to go to C.A.T.C for a few days. But how do I tell my mom this? I just can't stop the thoughts, and I can't sleep at all. I just sit in my room, on my computer, listening to sad songs, and thinking about killing myself. How should I tell my mom about this?? I don't know what to say or anything...I need somebody opinion. Maybe someone who's been through this all ready. Please help me.


"
"
					The only way
				","

							I can't live anymore. It's too painful. I have no control over these feelings. Everything I've done to try and control them has failed. The world is a  * * * *ty place anyway and I've always felt like a freak who doesn't belong here."
"
					Questions
				","

							Hello,"
"
					Looking for assistance.
				","

							Look, I'm not looking for support in not committing suicide nor am I looking for a reason to not do it."
"
					skydive with no parachute
				","

							i dont know why im writting this, i dont exactly want to.  but here goes nothing.  "
,"

							How does one cope? "
"
					Depression reccurence?
				","

							Im not suicidal but this seems like the most appropriate forum section to post in. "
"
					My last straw
				","

							I'm at wits end with everything, with work, with love and everything. People don't understand me, they don't know how I feel. I'm sick of everything. Night 2 on cutting. Maybe I'll just drink alcohol and take some pills. I just wanna go.. just wanna erase myself......from everything


"
"
					Im drowning in my own emotions
				","

							i have finally told my coucellor about my fathewr and what he did to me but im drowning in mixed emotions the only good thing that has come out of telloing her is that she now says that she can understand the suicidal thoughts ive had that ive been trapped for years ith no where to go so suicide is a clear option "
"
					17 year old, lost one love......dont know where i'll go in life.
				","

							I am 17 and live in London. My dream is to be a footballer and my back up is economics. "
"
					push, shove, and off they go!
				","

							I have been depressed since I was 9 years old.  I have kept it to myself mainly, got help and prescriptions but promptly took myself off them.  They made me feel worse because I needed them."
"
					hey music guy
				","

							I often wonder why I wake up in the morning. Why I live each day. I've thought of suicide ever since I was 13. Countless times I'd hurt myself. Almost got kicked out of school because of it. Parents divorced at 13, my only brother left at 17, rarely do I get to talk to him. I'm no close to my dad, very close to my mom. Women and relationships are a disaster. People call me ""weird"" constantly, even though I have no idea what makes me weird. Music makes me happy, that's it. I've thought about dong drugs or getting super drunk ( even though I can't drink because of my liver) I've always wanted to be a dad and be a good husband, if not that, be in some sort of long term relationship. I've tried the whole ""don't find love, it'll find you"" business (doesn't work ). I've tried dating offline and online (that doesn't work either)"
"
					Oh bother.
				","

							It seems as if life is no longer worth living. I hate sounding emo-depressive, but that is how I feel. Growing up I never imagined I would ever be where I am now. I always thought I had a relatively good life. I guess I do, really. I suppose my angst and emo-depressive thoughts stem from my broken heart..."
"
					Dont know what to do..
				","

							I've been having suicidal ideation for the past week and the only thing keeping me from doing it is that I don't want to hurt anyone. I feel so alone and I don't want to sound shallow but I if it's driving me to this than I might as well just let it out...I feel like the ugliest person in the world. I don't think something like this would hurt so much but it does..and I can't help but wonder that if I'd always felt this way I would know how to cope better. I didn't always used to look like this...and now I look at myself and wonder how my appearance changed so much. I feel so much guilt over this but I used to have friends and now I only have one friend and I think the only reason she still remains close to me is because she feels bad for me (I was also gone to a treatment center out of state for 2 years) and so I feel like she thinks shes owes it to me to be kind to me. I just feel so different from everyone and I have scars from cutting and I'm so disproportioned .. and I've become so isolated because I dont wan't people to see me. i stay inside all the time.  And now I feel like I want to kill myself to stop the pain but I don't have courage..


"
"
					I'm scared... I'm nearing my breaking point.
				","

							-- Six months ago, my relationship with my girlfriend hit a rough spot. I tried desperately to work through and make it better, but I didn't get any help."
"
					Holiday Alone
				","

							I don't want to live. I'll be spending Thanksgiving all alone...my family suddenly rearranged things about the plans to accommodate another family member and they didn't fit with my schedule but did they care?  No...they haven't seen me in year but it doesn't matter to them.  They accommodate things for certain family members but I'm expendable to them."
"
					I need advice
				","

							Five years ago when I was 15 I went on holiday with my friend and I was raped. This in its self was traumatic for me. To then discover I was pregnant. Of course I had to tell my parents who made me have a abortion. Not the operation the pill abortion. Which is totally barbaric and painful. I failed most of my exams because of this. My friend who i went on holiday with didnt support me and got all my other friends to turn against me. I had no one. My Mother never spoke about it to me and I left college when I was seventeen and got a job. I met my boyfriend when I was 15 who i am still with now. My life has been hell for the last five years of my life. me and my boyfriend are getting married next year and we have just bought a house. I have recently found out that my boyfriend has a gambling problem and has been blowing all of our money while we are trying to renovate our house. I can no longer cope! I want to move away and make a fresh start but he wont. I want to move to the ststes or whatever but he doesnt want to so we cant. he never talks to me about this and if we do he usually ends up arguing with me. I have just got a new job as a assistant manager and my new manager hates me for no reason. Everything bad always happens to me. I cannot see a light at the end of this tunnel. I am so unhappy I just want to die. I cannot cope anylonger. The guilt kills me everyday. I hate myself.


"
,"

							Not much to say... just feel so low I don't trust myself. So I came online to try to get my thoughts together."
"
					Not pleased with myself so I want to just separate from this world
				","

							People suck. I can't live with all this selfishness and unconsideration. I can't find friends because groups are against each other, and I want to be cool with everyone. I cant just choose one. I can't find anyone that I can relate to. I'm just too damn unique. "
,"

							I'm plan sick and tired of my life, and I really believe all of my problems stem from one single problem:"
"
					What The Hell Is The Point?
				","

							What the hell is the point in living, when you have nothing to live for?"
"
					My Friend
				","

							In April of last year he tried committing suicide by cutting himself.  He was sent to the hospital for mental health problems.  He was released a month later and told not to smoke weed or drink.  He started drinking and smoking weed.  I felt like I should stop him since maybe this was making him depressed, but he was happy doing this, so no one said anything."
"
					horrible depressing day
				","

							i woke up this morning feeling horrible.  it has been such a long day as i have been stuck inside all the time.  i can't drive and i'm stuck here in the wheelchair.  i was so bored this afternoon i cried, and ended up surfing the net for porn and suicide websites.  i was really thinking about it seriously, taking notes etc.  i don't hate life, just MY useless failure of a life."
"
					hope running out
				","

							I guess I should have said in the topic hope has long since past... "
"
					Suicidal ex boyfriend
				","

							I broke up with my boyfriend about 2 weeks ago because things just weren't working and I stopped loving him. I have been staying in contact with him though because he is very suicidal and I am the only person he has to talk about it with. I encourage him to go to therapy  and try to help him through it.  He says that I really do help him, and I am currently in school to become a psych nurse so I have a general idea of how to help. However he is still very in love with my and he has gotten much worse since i broke up with him. "
"
					5 years today...this is for those contemplating
				","

							5 Years ago today, my sister committed suicide. She had a husband who did not treat her well (verbal abuse) and two beautiful children. She shot herself in the head in front of her husband. He has never been the same. He lost the children to the state because he felt responsible, and started going crazy. "
"
					Lethal Dose?help quick please!
				","

							whats the lethal dose of tylenol, tylenol 3, and advil mixed? please help quickly i made a bad mistake...


"
"
					Feeling pretty crappy.
				","

							So. Usually all my threads in this place end up being deleted because I get mad at certain people for certain remarks that make me feel overwhelmed and darn right pissed off."
"
					An open call.
				","

							I guess we all need help from time to time. I'm 24, good health. For years I have wanted to voyage on oblivion. I have yet to act for what reasons befuddle me. For the most part I don't know how I feel. I don't really feel sad, or happy. I have tried just about every occupation there is and have been successful at each one. Everyone believes I have potential. But I see any job or anything I do in the long term meaningless. Not to say that what I have done is not important to the grand scheme, it's just that I feel that if not me then someone else. Sometimes people annoy me and I feel as if I could simply end their life. End everything that they could ever become. This can even be a person I know well such as a friend. But do I care, no. I don't even think I would feel anything after the deed. Even if I stood at their funeral with their family and friends watching. I have never acted on this impulse because it is selfish. Also I am sure that I would get caught as well. I have had good friends enter and leave my life. I had a best friend that recently disappeared. I don't even think of him unless an inconvenience of his leaving pops up."
"
					The Samaritans
				","

							Hi guys, there are too many posts here to answer back individually as I have only one answer for you all. I had all these thoughts as you do before and I started talking to the Samaritans I emailed them as I wasnt able to say out loud my emotions and fears etc. They really helped me out and because of them I am still here and enjoying my life so much. You never know what is around the corner. This time last year I was stuck in a rut and severly depressed, about to marry someone I didnt love also didnt help. Now 12 months later I am engaged to a wonderful man and had I done anything I would never have found that happiness and never knew it existed. "
"
					going through what happened a year ago..
				","

							so here's the deal;"
"
					I found u to late
				","

							i have plans to end it all today i dont see a light ive been looking so hard in the hope that a glimmer may appear but its black i dont want to inlict my miserable life on others anymore i hope ive hae covered all options and that this last act will be peace the peace i strive to gain no more confusion guilt pain thoughts that have become unmanageable i havent been here long but some of u have gone out of your way to help and thank you for that i do appreciate the efforts made and i tried to take on board the advice given its perhaps just been to late for me. The site is a gret support and network for those with many issues its a comendable thing u all do i wish i had been as brave


"
"
					Short sided.
				","

							I dont want anyone to think I havent thought about doing it. I have. I'm am very ashamed that I let things get this far. I'm 21 years old and I know I have my entire life ahead of me. But to me it doesnt seem that great of a thing to look forward to. I just got out of a four year relationship with the girl of my dreams. She left me because...I still dont know. I did everything. I put her as my number one priority for the whole time. We had a great relationship and till the day it ended I never saw this coming. I still love her very much. I dont eat like I used to. My friends...the ones I have left say I'm not the same person anymore. I want them to know its not my fault. I dont think its working. I have nothing going for myself and I cant go a single minute without thinking about her. I hate to say it but she was my life. Now my life is gone. The pain is unbearable. I just want to be happy. Its been a few months and I'm still not. She seems to be extremely happy. I really just dont want to be here anymore. I really hate what I have become. Everyone I talk to about it seems to shift me aside saying it will be ok. Not really listening at all. I think things would just be easier for the people around me if I let this all go and wasnt here anymore. I really can honestly say that I cant live without her...I mean look at what this whole situation has done to me. I dont feel anything anymore. Love, Hate, Happy, Sad. I just wander around aimlessly and everyone sees it.


"
"
					well. its happening
				","

							im slowing drifting. i just took the 50 pills along with alot of alchol, im feeling very weird. its working... dont feel sorry for me. i'll be at peace soon


"
,"

							If Tears Could Build A Stairway"
"
					Can bear my life, how much more pain can i take
				","

							I'm just about at the end of my tether. I'm 38 and alone again afer putting my trust in a man I thought cared for me deeply. Once again it doesn't work out and he has gone. Friends say he lives life as if I never existed after only a month which hurts me terribly as it seems that nothing between us meant anything."
"
					thinking of ending my life
				","

							Hi I've been thinking of ending my life for a while now, I've kept this to myself because I've never been able to end my life because of the people that care about me, so now I've been trying to come up with ways that will make it  look accidental, I will never make it look like I planned too do It."
"
					I Need Help Please.
				","

							Hi all,"
"
					I just cant do this
				","

							ive tried and tried and tried, i ve thought about everything family friends life itself, but i just cant do it "
"
					correct path?
				","

							It’s hard and it’s just getting harder."
,"

							Death sounds like a much more comforting alternative then going through what’s going on right now, and what’s ahead of me. It doesn’t seem like anything falls in to place for me ever. Not that I expect all of my dreams to come true, but I would expect some things to turn out for me. There is always something unexpected that smashes any hope I hold onto. And somehow I just keep going."
"
					i told my councellor
				","

							i managed to blurt it out at my session yesterday i have finally told my councellor thast the thoughts of ending my life are constant  maybe a step in the right direction  but feel terrible today neverthe less one big hurdle over


"
"
					im tired of living in pain, im tired of suffering......
				","

							"
"
					when the HELL does it ever end?!!
				","

							fist a little history..."
"
					why do i really think t will change
				","

							went to councellor again last night feel terrible today why do i think this can ever be any better? im just wasting everybodys tme those trying to help there is no light it gone has been for a long time and i want to go into that darkness it cant be anyworse than the hell im living here on earth






						"
"
					ive already died
				","

							i cant do thi today its like being on a perminent rollercoater isbetter maybe a bit no its worse i just am weak useless and not important here on this earth i wont be missed im causing pain and anguish by being here to those i love i want to go to the forest a tranquil place to end my days im so so sorry i truly am  


"
"
					never thought i'd end up here...
				","

							ima make this simple.. "
,"

							Need to kill myself ,, I feel so <removed by moderator> and useless at evry thing ,,,, my family dont liike to speak with me.... "
"
					no goal, no motivation, hating myself...need painless way to kill myself!!!!
				","

							This may sound pretty silly and stupid. I have a normal life. I have w/e a normal person would want in his/her life. Loving family, great friends but I hate myself because I think I don't deserve. Im in first year engineering and there's a lot of pressure on me but since somehow I always got away with gettin high marks in all my courses all these times without working hard. I cant do it...I know I am pathetic, lazy guy and i dont even know if I like what im doing anymore..I never knew...I was never sure of anything..I dont deserve what I have and that's why I wanna kill myself...and im such a coward that I want it to be painless...:sad:


"
,"

							Just curious on peoples thoughts if suicide is a sin or not?


"
"
					Need help
				","

							Well i need help form someone who was in my situation, predicament, perplexity call it how u want it....but donno nothing gose right, u'know when u feel like, u just dont wanna live no more, u'know,cause u cant take it no more, i cant describe my feelings, but i hope that u guys will understand me.!!! I dont wanna talk with my friends and family about this...im so desperate right now!!!! what should i do to feel better...........


"
"
					The Most Amazing Thing Happened
				","

							ForeverAngels "
,"

							What's the point of living if life is always a constant struggle for one thing or another? Going through so much  <mod edit> to get 'somewhere', only to die at the end of it? Some may point out special times they think 'make up' for it, but I disagree - the pile of  <mod edit> greatly outweighs any special occasions. I'd rather skip the living and get straight to the last chapter of the book... a lame book at that."
"
					I'm SICK of everything!!!
				","

							Today was my final straw with people and everything. I'm sick of people online AND offline, getting treated like crap. No respect, getting treated like crap at work. Sick of women (even though I have this little internet relationship deal going on) Females treating me like crap, friends treating me like crap (not all of them, but some) "
"
					its all to late
				","

							itas all to late ive left it to late to get help i cant do this im so sorry  


"
,"

							I always had hope. I always believed my fears and desperation would be gone sooner or later. That I will grow up, and be mature, and fine, and eventually everything will be okay. I grew up, nothing changed, i honestly dont believe anything will ever change. I feel like a load of <removed by Moderator>, worthless, always felt that way, always will feel that way."
"
					Thought About It?
				","

							I'm sure everyone here has thought about suicide once in their lives.  Anyone?  And maybe even acted on it."
"
					thank u sometimes we need to accept we lost the battle
				","

							thanks to those that were kind enough to answer my posts but perhaps sometimes u have to face that its over for u and that the deep dark feelings are there no matter how much u try to do things to make that change to make them go away"
"
					I'm a FAILURE!!!
				","

							I just got my AS results back and i tanked! I really wanted to do medicine but with my results i have no chance, all i have ever wanted to do is become a doctor, that's seriously it! I've been lying in my bed for over 4 hours now just, i don't know. i can't think properly, i don't know how I'm feeling. i know it sounds selfish but i don't care about anything anymore. my mums going round avoiding all calls from family and friends so she doesn't have to tell them I'm a failure. the worst thing is i know none of them would be horrible about it, they'd be like ""awh, she really deserved it"" but that's thing i obviously didn't because here i am wishing i was dead."
"
					A Logical Discussion about it.
				","

							Hi, I would like to ask something, and would like to see what people think about this."
,"

							I grew up rural VA, broke the country mold and moved to Atlanta GA, then decided I liked summer so I got a job in Grand Cayman and lived in the beautiful Caribbean. I was walking down the road one night with a girl i knew, she put a pipe to my mouth, i thought it was weed, it was crack. My life spiriled out of control. I'm a fujative from Cayman, I snuck on a drug charge and I tried to make a new start in Sarasoata Fl.  Didnt take long for me to find crack  got fired from jobs decided to go back to Atlanta where again quickly found crack. I;ve had 5 hospitlizations for suicidal ideation and or attempts. I was diagnosed major  depressive disorder. I could beat the crack and did 4 months in rehab to turn around and use. Long story short, I'm 7 months sober in Colorado therapist sees me once a week and lota of group. In the pat I was always treated for substance abuse and it didn't work because substance abuse was a side effect of what was really wrong. The crack ruined me but before that alcohol, weed snoerting coke, I self medicated all the time, cross addicted. No I'm clean the now say I'm Bi-Polar1 and Borderline Personality Disorder and Anxiety to to PTSD (Another story) My point is I've been through  * * * * seen street life, had guns pointed at my head and didn't care, found dead bodies and heard people getting killed. Death is not pretty and if nothing else you wanna go natural so you can look pretty. Not a day goes by I don't think about slitting my throat slashing my wrist, and fight the temptation of stepping in front of the truck. Every F***ing day. I take my meds and I do what I'm told. I can't work  because I screwed my mind up so much and my illlnesses were all aggrevated by the subtance abuse as well. I used to make $100.000.00 a year i have nothing, blame it all illness blame it on drugs but no matter what I try to blame my destitution on it all comes back to me making bad choices. My Bi-polar didn't make smoke or crack, thats was my decission. So now I got nothing, but you know what nothing is a place to start. Start making good decission, stay in those groups, talk to someone, get help with decissions it starts there, but you got to do it take that step. I relapased 4 times, but I don't call it that, I wasn't ready to really give up so I call it taking a break ad getting back to it. My addiction will follow me always, but with therapy, my mental health willl improve with help and family I can rebuild and learn to make those descissions that will help me get past the nothing I have then you get past what you got, tiny steps baby steps but it gets there. You know, everyone is a little messed up, its called unique by some, I say the world is nuts but either way we have common goals we can achieve"
,"

							[B]The Background "
"
					=) I think
				","

							I feel so empty... Like nothing really mattered anymore, at least nothing here on earth. I can't help but feel like I am ready to soar high into the sky and just be free. I'm constantly at gaze into the horizon, thinking how it would actually feel like if Im floating, and leave all my problems, dejection, and desolation behind..."
"
					nothing changes!!!!!!!!!!!!!!!!!!!!
				","

							i was dismissed from my 'job' last week.  just when i was getting a little something going.  how i kid myself.  they got rid of me because i wasn't performing to the expected level (i.e. i was CRAP) in my 2-day-a-week admin job (that a trained monkey could master)."
"
					Top 3 Mistakes In Attempting to Help Suicidal/Depressed People
				","

							Yes, I'm a presumptuous little..."
"
					Im so so sorry ty
				","

							i know im told im not to be sorry but i am im sorry for putting people through reading my bleak and dismall thoughts"
"
					Cry. For. Help.
				","

							Dear all,"
"
					confused
				","

							im really confused. i dont know wether i want to die or not, i keep getting urges to do so, and have been close but it seems that there is a slight ray of hope, but thats all im living off and if that fades out i dont know what im going to do."
"
					Vent
				","

							I have never really struggled with depression before. "
,"

							I don't know why suicide is portrayed as such a bad thing in our culture, other than the fact that it's wrong in so many people's religious beliefs/convictions. A cowards way out? Maybe so, but I've really been thinking that maybe it is an answer and a solution because I am simply tired of trying to scrape the very bottom of my life in a futile attempt to find some kind of reason for waking up everyday. I have always had a really hard time connecting to people emotionally and personally, so my life has been plagued with a certain, almost unusual amount of solitude from the very beginning. I am beginning to ponder if I can ever find a place in society and life. "
"
					I would like to say thank you
				","

							Thank you to all those people that have replied to my threads it has meant a great deal.I wish i could tell u all that im feeling better but im not all i cn say is that im still here though a few times this week thats been more by luck than judgement i think."
,"

							I have decided to post this on the site in the hope that those that have been kind enough to offer me support may have a little insight though ths is a brief and very short glimpse really"
"
					cant go on
				","

							i have struggled through the last few days i cant do this i cant go on i know im depressed i see no other way out i cant say its this that has caused it i have had so many bad things happen in the last 4 years particularly and so many have died that i loved so much god if there is such a thing make anoter space i dont think ive been a bad person 


"
"
					When suicide is like an ""old"" friend
				","

							Does anyone here ever feel like they ""know"" they will one day kill themselves? Maybe things are not bad right now, but you've known most of your life that you'll eventually end your life. You've fantasized and even planned your suicide countless times. When we moved to a new location I sort of took note (to myself) of places in the countryside where I could possibly blow my brains out should the time come."
"
					I know this is probably the wrong place.
				","

							I can't seem to find a purpose or a path. I can't seem to find a way to escape this feeling that I am living a pointless and sad existence. I can honestly say the only thing keeping me from killing myself is the fact that it would leave my parents with a mess to clean up as far as bills and burial go they barely have enough money as it is. I think about it every day, but I love my parents so much I could never do that them....but something inside me hurts so much that living my life this way forever is more torturous than the pain I know I would cause them. I'm not a lonely person, I have my family. I have long distance friends, they have all moved away and started new lives, we rarely talk anymore. But me....I am so afraid to live my life I would rather end it than hope it gets better. I just needed to write it so that one person could know. It's the hardest life to live. I just feel empty inside, that my life is so routine and so hard to get through everyday. I have no interest in the things I used to love no passion for anything. And I question how God could allow someone to hurt so much and not help them. I could ask for help until I am blue in the face but he will still be far away and unmoving. I know what people will think but pills and professional help are the last thing I need, they never helped before, only made me feel sick. But why can't one person tell me why my life is meaningless and pathetic when everyone else is so full? Why do I have to go to movies and dinner alone while others have significant others and best friends to talk to? Why does my life always end up so lonely?


"
"
					hour by hour
				","

							these thoughts will just not ease for me thistime im clock watching nd thinking thats another hour i stayed alive another hour can i get through the next hour ??   shall i get into my car i have a plan shall i go shall i stop ding this placing all these toughts on thius site whe people here are struggling and need support shall i carry this out and end this torment for everybody, then i think of some of the replies ive had and i think no try another hour people have been kind enogh to offer support don ignore that another hour goes by and it is back to the plan   how am i going to get through this its never been this bad the feelings of sui...cide never so intense my irrational thoughts so much more powerful than my rational ones im oosing the ability to fight the feelings im loosing this fight for life and seeking the path  to heaven   if there is a heaven even who knows    thanks to all those that took the time to respond to my posts ty


"
"
					i wish i could kill myself
				","

							for 4yrs i've been battling with my weight. It has ALWAYS been '1 step forwards, and 2 steps back.' "
"
					How many is enough?
				","

							I'm sitting here with a pill cocktail on the bed next to me, and I want to know how many is enough to kill me.  I can't do this anymore.  I have no one to turn to, every one hates me and they should, and no i'm not exaggerating.  I just want it to be quick.  I want to fill myself with the pills and go to sleep forever.  I don't even care if I wind up in hell because hell is a lot better than this place.


"
"
					Finding the strength not to do it.
				","

							I took myself to a bad place last night."
"
					I hope this helps some of you feeling down in the dumps, and/or suicidal...
				","

							I do NOT take credit for this, I found this and I just thought it'd help..."
"
					what seems to be wrong with me...hmm..
				","

							I've been of late, lost in deep thought since I have found the time and realized... theres nothing really to live for in my life... I just completed high school and I've moved onto a local community college, I just got hired so i have a small job to give me some extra money, and I've yet to find anything worth living for... many times I've thought of suicide, usually when i circle my thoughts around things dealing with life. I would like to have a girlfriend, but i know I'll never have another one, born alone and destined to die alone, so true it is. But other than petty things like being alone i don't understand so much and it leaves me feeling like everything is pointless. I look at things like choice.. it's just so messed up what a cruel illusion it is, there is no choice it's just a form of control, every major decision is so rigged it isn't even funny, it's like a path through the woods where at the splits, the path continues and all other ways drop off into a chasm. Society is another i don't understand, it strives so hard to tell every one, be yourself, do what you want to do, express who you are, but then when you do, it ousts you, turns its back and labels you or shoves you in the dark like your some kind of fungus or mold, it's just a hypocritical paradox... it's these small things like this i think of, that just leave me guessing, and give me the impression that I never, was, am, or will be in control of my own life. Whats the point of ""living"" if I'm only playing to the beat of someone else's drum and never my own? I dunno much any more, nothing really makes sense to why it's done or why it's that way... i think i broke my reality of subtle spoon fed innocence and ignorance.  I'd just really like get shot right in the head.... and make things so much more uncomplicated...


"
"
					I have a friend online who wants to kill herself
				","

							I have a online friend who wants to kill herself on Sept 24. I think she is serious this time.... I don't know what to do. I only have her cell number and email address. I have never met her


"
"
					I wrote a suicide note last night
				","

							I try to write in a journal that I've kept for 5 years of my life every once and awhile. Usually I just write down thoughts about my day and how I'm feeling. Last night I just felt at my wits end and tired of it all. I wrote a suicide note about everything that's going on and personal letters to all my loved ones."
"
					My boyfriend tried to kill himself
				","

							I wrote this is my other thread in the Relationship section but I really need fast advice on this because I really want to go and see him but he's asked me not to. He's in the hospital. His flatmate found him lying on the bathroom floor at 2am last night and when he couldn't wake him up he phoned for an ambulance. My boyfriend drank himself unconscious and the blood test showed he took an overdose of painkillers too. His friend says that my boyfriend made him promise not to call me until this morning and that he doesn't want me to go to the hospital to see him since he's being let out later today after more blood tests. He is refusing to answer any questions about it and even refusing to acknowledge what he did. I know he said I shouldn't go to the hospital but I want to see him. I can't believe this has happened. I am so upset right now. Should I go to the hospital anyway? I'm just sitting here worrying and crying.


"
,"

							my life sucks...im completely alone. i have no friends...i dont even have family to talk to. i live with my parents and grandparents and aunts and uncles. we have 3 houses in a row, tons of family but no one for me to talk to. the only person that noticed i was depressed was my grandma from my mother's side. she asked me today why i was looking depressed and walking around all day the last few days. everyone else was just doing there own thing. my grandma only knows how to speak chinese tho, and i dont know how so i cant talk to her. my depression is getting worse and starting to turn to anger again, i feel its the only way for me to let it out. i tried talking to my dad, he always gives the worse advice and doesnt understand anything, and so does my mom. my dad tried talking to me just now...i got back from class today, i try talking to people and it never works out...i never have anything interesting to say, i dont know how people do it...i havent had a friend in 4-5 years. i talked to my dad about not being able to hold a friendship with anyone(pretty pathetic) and he just goes on talking about how when he does real estate he used to go around peoples houses and asking them if they want to sell there house and that you just have to learn to face rejection and move on. when you go around knocking peoples doors asking them that obviously your going to get  <> rejected almost all the time, and those are potential customers you'll see for business only for a short while and then never see them again. that had nothing to do with making and keeping friends. why the  <> do i keep talking to that retard. i just got frustrated talking to him again and hit something, then he threatened to kick me out of the house and told my grandma(my dads side one) that im just mad cuz i dont have any friends, and she comes in and tells me that its wrong to get mad and hit stuff...theres just no way for me to let anything out of me...theres just no reason for me to keep living...i dont know why im still alive when theres nothing for me to look forward to...


"
"
			","

							I'm a complete loser. I have no friends other than a few people I've met over the internet playing games. They think I'm fun to play with, but they don't know how I look like. I've known one of them for 4 years now and she still doesn't know how I look like. I think I am ugly, and even uglier in a photo. "
"
					Think I'm having a nervous breakdown.
				","

							i've been having a really rough time with things the last several months. i've been on here before talking about killing myself. i've been a cutter for over a year, though i havent done it in 2 months. I want to. I tried to hang myself a few days ago but couldnt do it. It scared me.Because it was so peaceful and felt like i was just drifting off to sleep.But I thought of  my 18 month old son and how my suicide wouldnt stop my pain, it would just transfer to him and he would have problems with his dad killing himself and wondering if it was his fault etc.i cant do that to him. i've been in therapy for a year. i tried to jump off a building once and my friends had to restrain me. my therapist tried to have me check myself into a psychiatric hospital but i didnt want to go so i told her what she wanted to hear, that i was fine, even though it wasnt true. i've been on lexapro for a year. i was up to 40 mg and i felt it wasnt working. so i stopped taking it in june. since then i have crashed and i feel like my whole world is collapsing around me. i dont have the desire to get out of bed and do anything. and if i do i get really hyper for a while and i'm fun then i get anxiety ridden and have panic attacks etc."
"
					Nembutal
				","

							For those of you that find even a minute reason to not give up, hang on to it. As for me, there HAS to be someone out there who can help me find a way to get some nembutal / pentobarbital or at least seconal in Australia???"
"
					I'm going to kill myself...
				","

							I just feel entirely too complicated, and some messages and chats tonight made that entirely clear. I want to thank everyone for their chats, and kind words over the years that I've been here. I'm not going to write a 'goodbye' speech of sorts... I will probably write a final note to my parents tonight, and sister. I just feel that my future is not worth living at this point in my life, and I don't really see a happy ending. "
"
					I don't want to kill myself, but I'm so lonely it hurts like hell.
				","

							Have you ever felt this way?  No one to share your life with and it rips you up inside?  Harder to get out of bed and harder to go to work.  I force myself to the gym so I don't end up staying home all day."
"
					Hey, I'm new here. :(
				","

							Just thought I'd introduce myself first I guess ...   My names's Lauren, and I'm 16. "
"
					My daughter
				","

							Is the only thing stopping me from buying a large bottle booze, and popping every pill I can take tonight."
"
					Who to turn to...
				","

							My housemate called last night and said she'd taken an overdose. My other housemate and I went out and found her and brought her home and she told us so many different stories that I don't really know what went on last night apart from the fact that she is clearly very depressed and needs help. I know she won't want to see her GP or talk to her family so  don't really know what to do to help her. She's said it will defnitely happen again but she won't let us help her get professional help. I don't know what to do.


"
"
					Help.. maybe..
				","

							I don't honestly know why I'm writing this, doesn't seem much point anymore... but maybe words can help. "
"
					What is going on with me? :(
				","

							  I am so afraid right now. I'm just feeling so messed up..Yesterday i wasnt so bad, but tonight, i feel like hurting myself. This isnt the first time i feel like this, but i usually dont want to talk about it, or write about it. I'm really scared. I have so much self-hatred at times, it's so overwhelming. It's not that anything happened today that made me feel this way, or any other day really...it's just what goes on in my head. I just feel like everything is pointless..  and i dont even know why. I'd give anything to not feel like this, but i'm just always angry with myself about everything little thing that i do. Nothing seems right. I just feel like punishing myself all the time now. "
"
					Suicidal thoughts
				","

							I don't know what's wrong with me. I don't think I could ever really kill myself or anything, I don't even really want to die. I want to live and enjoy life and enjoy the sun shine when I can, but I often get thoughts of ""I wish I where dead"" running through my head. If I'm driving, I'll just have this....urge to let go of the wheel and hit the gas.   Or if I'm walking next to a busy road I think ""Just one step, it only takes one step"". "
"
					Hoping for Irredeemable Failure
				","

							Has anyone else ever felt that they've consiously or unconsciously hoped for some sort of irredeemable failure?  Afterall, if success becomes obviously and objectively impossible, can you imagine the feeling of complete liberation from obligations, from routine, from effort, and from struggling.  How tempting is giving up in the worst of times?  What causes you to fight on is the realization that the battle can be won or what a waste of time it was fighting all those battles before only to give up now, when you're closer to your goals or dreams.  A massive all-encompassing failure would cut the strings that drag you along.  In this case, giving up would actually be rational.  If you have no one, if everything you own was stolen, and your reputation so tarnished that no one would ever think fondly of you - regardless of whether you died an old man in your bed or five minutes from now.  If you define happiness in such a way that you can never have it, then what then?


"
