,heading,post
2770,3rd time unlucky,hi am a n00b here but what ive read so far was interesting
2771,I think it is time for me to write a goodbye note,I have been here before and see everything is caving in. Well it is. I am have tried to keep a positive outlook and it is not happening. I am at a critical stage with financial that I don;t know what to do.
2772,no reason to live,"I want to kill myself, I have no one here. Sure i have friends and family but they are all far away. I have NO ONE here for me right now, no one to give me a hug when i need one. I tried to turn to my only friend here and he told me he was sick of all my emotional distress and it was stressing him out and he really didn't care if i live or die. After all I've helped him out thats what he tells me. that was my only friend i had here in this city. now, i just want to die. My life is going absolutely nowhere right now, i can't find a job, i dont' have a boyfriend or any friends here. Seriously there is no reason to live. i tried to strangle myself with ap hone cord and almost passed out. I'm ready to take things to a more serious level. I think i finally have the strength to end my life. I really Don't want to do it, but i have nothing to live for anymore. I'm tired of things going no where, and of having no one here that understands how I feel right now."
2773,Okay....Now what?,"I'm alright I guess wanting to die though, eveything seems to be my fault. I know I've given alot of advice and some of it hasn't been to good I only hope that I haven't killed anyone. I'm here because I can't sleep. I've been trying but I just can't. My mother was taken to the hospital not to long ago because she passed out three times in a row. Still not sure what's wrong. I just don't know how much longer I'm going to last."
2774,I have had it,"I know how corny this sounds, but i have had such a bad time over the last few years. I have tried so hard to get on with my life, but i have been completely abandoned by everyone. Its so lonely for me."
2775,"no reason left, why not now","I decided a while ago that i would kill myself, in a day or ten years i wanted to die on my own terms.Lately Im thinking its going to be much sooner than i thought.I cut tonight for the first time in 8(?) months i think,worse than i ever have before, well not counting past suicide attempts.Work today stressed me out to the point i was throwing up and crying when i got home. Recently I've been waking up in tears because i dream of people who i love whos lives ive ruined with my existence. The more i think about my life the more I notice I am nothing btu a burden to anyone I love and care about.The one person I still care about is I dont even know how far away. I dont know what to do, Ive lost everything that keeps me living . any advice?"
2776,How can I find out what happened?,"I have this one friend whom I met online. We are both depressed, and that's sort of how we became friends. She sometimes goes through very serious periods of depression. I have not heard from her in over a month. I'm worried she might have done something to herself."
2777,will somebody please talk to me....,"i'm really having a hard time... i don't really even want to live cuz i don't feel like i have anything to live for. my mom is the type she won't let me have ""any friends"" or ""any girl"" that i want, they have to have that big stamp on them that says ""mom approved"" you know what i mean?"
2778,So why go on...,"Well, I have a list of reasons to keep going through life. My car, my parents, my family, to work, to make money, to own crap. Now lets weed that down to the important ones, my parents, my family, and my car...just joking."
2779,hi there,"hi there im not really thinking of killing my self not that i dont whant to die i dont have the courage to do it and is just that i didnt find any bether topic to post , i hope you forgive me for my bad english... i whanted to know whats the porpuse of living if we know that we wiil die unhappy and alone? why should i whait till im old and sick if im already as it is... maybe im beeing selfish and there is ""gazilions"" of ppl that are worst than me but i cant help it.. yea i have my parents and im sure that they love me but i feel that they have me as a disapoint i dont know really how to write it but it is like when you put all ur hope in something and it turns to be nothing...and it keeps me awayoff them so there be less ways of i can disapoint them ... my friends or so called friends are just as somebody as is your friend but just so you can help them when the time come that i need help they almost tell me to F* off im not very good at school so i dont have any perspective at profetional career so i feel like a disaster at all points in my life... so thanks for reading i needed to put this somewhere as i dont have any friend that i can talk to or ifi talk to my parents they will take me to some doctar that would fell me up with drugs ..."
2780,for a friend,"To make it clear now, I am not contemplating suicide, that is not the intent of my post."
2781,Feel like crap,"this isn't the first time, and its pretty typical"
2782,I just don't know anymore.,"almost over a year, I have been majorily depressed, I have attempted suicide many times before. Then I thought I was doing so much better feeling great, but then again things happened in my life that I wonder if there is any good in this world. I keep trying to force myself to be happy and forget about everything, but I just can't. Everyday I hardly to get out of bed in fear of what the day will be like. I don't want to take my life though, but I don't want to live the way I do."
2783,about to self destruct,"I just feel like total crap right now and I need a place to talk and vent. It seems like my entire life has been a complete waste of time. Just when I think things in my life are starting to look up, everything that I look forward to is taken away. I'm always depressed. People always come up to me and say, ""why do you look so sad for?"" and I just pause for a moment not knowing where to begin, but I always end up telling them, ""I'm fine"" just so I won't be hastled. And it's true I have a permenant frown on my face, even when I seem to be happy it's there. I don't have any friends to talk to. When I try to make new ones I scare them away or they move or something. I've always been so alone in this world, thinking there's got to be someone here I can talk to. But there's not. Just myself and I'm going crazy. What's wrong with me? I have no purpose in life. If things don't change I don't want to be here. Words can't even described what I feel inside right now. I'd rather die than feel this way."
2784,SUICIDE.....,"last night, i took a giant step, and told my mum that I've had suicidal thoughts. we had a long discussion, and i red her my journal where I had talked about killing my self, and how I felt about it… she cried, and I cried, but she told me that she always feared that I would have those thoughts, she didn't know why, but she had a feeling because of things that I have gone through, that I would have them. But anyway, she told me shes going to get me some help, and that shes going to be with me the whole way. I wanted to tell you guys, because I know there are a lot of people in the same situation as me, and I want them to know that they can get through it."
2785,Saden And I Need Help,I so sad cause the guy I love so much hate me and I want to comittee sucide but I know that all the pain will stil be there in my afterlife right now I'm in a sill quiet move where I'm just not takling to any one cause I'm hurt and saden by the curelty of people
2786,Has Anyone Here NEVER thought about commiting suicide?,"I have heard that most people, at some time in thier life, consider suicide. So I was wondering how many people here can honestly say that they have NEVER thought about committing suicide? Is there anyone here who can say that they have NEVER thought about committing suicide?"
2787,This is just to Inform those that don't seem to know,"Suicide, isn't about weakness or strenth. It's about pain. Mental and sometimes physical pain that is so sevear that someone can not cope with it. This pain could have many sources, a break up, devorice, death of a loved one, stress from tests in school, job stress, and just genral stress in life or a number of other things."
2788,IM SORRY I CANT BE PERFECT!!..Im fading into my shadow,"IM not good enough, smart enough, pretty enough, funny enough, sexy,. i dnt turn heads, guys don't look at me twice, I dont get good enough grades,. My artwork is never ""up to stanadard"",. I ""never do anything right"",. I useless,. Lazy, Fat, Sppotty, Chunky,. I dont make guys laugh, IM not charming,. My clothes arnt sexy enough,I dont have a sexy body,. My accent isn't ""proper"".."
2789,The Law and Suicide,Could someone please tell me what the law is on suicide and if it is the same in the U.K?
2790,im wondering if i should kill my self rite now,im 16 yrs old and i just hate who i am i just hate being me!
2791,Right to die...,"Here I am, sitting alone as usual, waiting for the miracle of a quick death to release my pining soul."
2792,Had a revelation tonight...,"After breaking up with my ex-gf and getting convinced, by her, that she does not want me around, I noticed something, I'm alone."
2793,suicide-- kinda,"for a while now, i've been thinking about suicide on a daily basis."
2794,My friend want me dead,The other day my friend told me that she would rather that i got cancer than continue to be how i am. I dont even know why. I leave her alone. I dont even talk to her bout my problems anymore. She was my best and only friend. She said she would always be there. No what? its obvious no1 wants me.
2795,Sucidal/Depressed Friend.... with an odd twist....,"Ok I've had thsi friend who has alway s been a bit ""depressive... sometimes talking about wanting to die etc. I, though, not living anymore where he lives, have done my best as the long distance friend, staying up late to im-chat with him He was always a bit anti-social, so this never made things better."
2796,dont read,I hate my life and can't keep breathing...I'm one of those
2797,I tried it - again...,"Here in Latvia the whole country celebrates the summer solstice, so as usual I went to a festival in my home town... But somehow this year's summer solstice became so cruel to me - I realized that I had no friends to hang out with, all of them have girlfriends, in the festival, everyone had their friends & loved ones beside... And I was just looking at all these crowds - ALONE..."
2799,What do you do when you get lonely,"Let's skip the I won't do it stuff. I'm 21 y.o. and with 16 I was alreadx an alcoholic and never tryed to quit. I have problems in family and just I had to tell someone so I tell it here. There is nothing to be done. It's not a crime to take my own life aaway it has been taken a long time ago. It was just a matter of time. The pressure is too much and life so short. I believed in god but I'll never do a same mistake again. Life is so easy to some people but to me and other like me nothing but box witch you throw away with time. Here is a question, is life precious thing or nothing? Maybe we will taype to ich other in some other life. :scramble:"
2800,Heaven or hell question?,What do people believe happens to the soul after someone commits suicide? Do you believe you are forgiven or are you condemmed to hell?
2801,Please,"Why do so many people have all the things they want, cars, clothes, tvs, food, a roofs over their heads, a family, health...how can so many people have everything and take it for granted?"
2802,What reasons do i have to live?,"I don't know why i'm writing this since i can't believe anoyone will find a miracle solution for me, besides the usual advices about how a great thing life is (although i really admire the people who tries to help others); I just want to write about how i'm feeling, a raw display of emotions and thoughts without care or beauty."
2803,I don't think I should be here...,"okay, here's the deal. i have died 2 times already. the first time i slit my wrists and lost a lot of blood and had to be revived. the second time i was deep in meditation and i slowed my breathing down so much that i eventually stopped and my heart stopped too. it was like falling asleep but never waking up... then i was revived by my teacher who thought i had been strangled or something."
2804,Really worried,I've been talking on msn pretty much all days with a friend that is depressed lately due to some issues in her relationship. today she sounded really down and i tried to make her feel better.
2805,k,kfghsdf
2807,Anger always getting the best of me,"I didn't know where else to go to talk about this, I just happen to come accross this forum. I hope this is the right place to put this. My whole life I've had anger problems, seems like the older I get the more intense it gets. I use to attend counseling, but that didn't help any. I get so mad I don't know what I'm doing or have control over it. I try to hide it as best I can when I'm around people cause I don't want them to see me like that. But then it feels like I'm going to explode and I'll take it out on myself...usually by cutting my arm or punching a wall/door. I can't take it anymore, I wish I could end it, but it seems the only way would be through killing myself. Here lately I've tried hanging myself, but it failed. I don't want to end my life, but I don't have control alot of times. Maybe someone could help me find another way to get through this cause I can't seem to"
2808,wut do i do?,my ex boyfriend is acting really weird since i dumped him. he talks about suicide but says he wouldnt do it. he acts like hes actually
2809,Notice,"When someone is thinking of suicide they do not need to hear. Act your age or that's a stupid thing to kill your self over, or anything else relating to that."
2810,"long post. Im gonna kill myself , so NM the replys.",I have been living with my grandparents for about a year now because I can not live with my mom cause my step dad is sexually and physically abusiv and she would rather toss me then make him leave.
2811,"I pushed people away, and now I am alone","I am about to go through a time in my life where I am to be COMPLETELY alone, with the exception of my two cats. This is really hard for me."
2812,Feeling depressed,"Okay I feel really bad for doing this, but I don't know what else to do. Here goes:"
2813,I need a Friend....,I just don't know anymore. I'm sick of everything. I hate the way my life has turned out. All I do at the moment is think up different ways of ending my life. I am scared to die but the life I lead is worse. I have no life.
2814,4 years,"Well where do I begin, I am 22 and when I was 16 I got my first real girlfriend, we were young and silly together it was a good time, the best time. Well after 2-3 years things got tired and I broke it off, I thought at the time it was the best thing for both of us as we were both beginning university. Anyway within a week I missed her alot so I thought mabye her feeling the same would get me another shot. I was wrong, she had already hooked up with some guy from her work and I was dropped altogether. I went through a phase of constantly emailing her begging to get her back and even bumped into her once on a bus when I proceeded to journey with her all the way to her workplace where we agreed to be friends (this for me was just a way to get back in to the fold). Anywayher promise of friendship was never manifested and she basically made it clear I was not wanted anymore. This killed me at the time a huge pain was born and I wanted to die. Anyway I had some steady friends and I managed to soldier on applying a mask of sanity. We've not spoke for 4 years unti last week when she suddenly felt guilty for still talking to her new ex (the guy she left me for) and not speaking to me so now we're firends? I played it cool for 6 days then e-mailed her suggesting a quiet drink to catch up and she still hasn't replied meaning she wont. I also found out today that after her last breakup she had some sort of one night stand and this was a new killer blow, the climax of the tragic movie where she runs back to me after seeing how bad things are without me didn't happen. She done the right thing and evolved into a notch on a bedpost. None of this would be a problem were it not for the constant numb pain and the ill feeling everytime I see or hear from her. I still live with my parents but I now see three options. End the pain using the most definite methods, leaving the country or........no make that two options. My only question is, is 4 years a natural term of breakup pain? I expected to have moved on long ago yet I still pine and think of her everyday. I would appreciate opinions."
2815,Don't know what to do...,Hi
2816,need help,"i feel suicidal, well at the moment i feel drunk. i would go to a doctor and say so but it would really change my life. well, i want that to happen. i spose its just my parents. i feel like running away. i want to be treated but i dnt want my parents to know i want to kill myself. help????????"
2817,"interesting, can help","this is an article about helping people online considering suicide, please give it a read if you will. it is basically saying how the person's ISP can be contacted to reach the person."
2818,Dishonoured. Mathematical Suicide or Homicide?,This contains so many thematics. They all lead to one conclusion: a mathematically unavoidable suicide. But right... I've got also bad in math...
2819,here it is!,i feel so bad for thinking about this. i don't want to live any longer but i can't hurt people. yeah people might be thinking oh darn a 16 year old girl who has people who love her might commit suicide. darn what a hard life she has someone there for her. when most people don't have anyone. well i've never year thought about suicide before until this year. this year hmmm well i just think that i will and everyone else will be better off if i were gone. oh and yes i know people will say what about the people who love you. well everyone says do something for yourself this is the one thing that will be best for me i think. i started cutting last year on my b-day. and my parents found out this year and its like they don't care how it makes me feel. all my mom can say is how do you think we feel stop thinking about yourself. i'm in councling and on meds but oh guess what just like they said the suicidal thoughts started showing up. i have no clue what i'm going to do. i think i just needed to vent who knows.
2820,"long post, but I really need help, Please help.","Well I don't know where to start. There are so many different things wrong with me and I don't know how to fix any of them. I have totally given up changing, cause I can't seem to change. I am so messed up I can't even think about it. I guess I'll do the easiest thing possible and just make a list of my problems."
2821,I've run out of choices,Okay well im close to really thinkin about doin it now my lfie is on a complete low.. i cant talk to ANYONE about my feelings because im too scared and I really cant this is my only choice... I ahve nothin god to lvoe for nothin.. every day is torture for me... I hate my life so much
2822,it doesn't matter what i say but....,"my feelings toward suicide has been a tug of war as of late. but the one thing that makes me feel like ending my life is the way things are for me socially. i'm just not good at opening up and fitting in....but that doesn't mean i don't bloody try. it is frustating when all you want is for someone to notice you...and they overlook you like you don't matter. someone came into this office i was in and i tried to say hi, but she just acted as if i wasn't there. she chatted with soem other people in the office which didn't bother me but as she left she said something about keeping soemthing a secret...and that it wasn't a big deal to say it out loud in the office because n one was in there. well i was....and while i know i socially suck at fitting in, i'm a human bloody human being just like her. i don't know if she's being mean on purpose, but i hate how i'm not even worth a hello."
2823,can't take it anymore!!,"I've been working 2 and half jobs which I like a lot, so far in the last few weeks I've been getting yelled at at both jobs, I get stressed and yell at my friends..I cut myself because I just wanna find love and every girl that I talk to that I like screws me over. I more or less have everything that I want, I just want love. I want to feel appreciated by people at work, and I wanted to be appreciated by women too. I just wanna end it."
2824,just a reminder,"hey all,"
2825,My hair is thinning and I'm only 20 years old,I think I want to kill myself now. Lost my gf and my hairs getting thin and I'm this young! No girl will want me now and not even my ex would come back if my hair does not stop thining. I've tried this new product but It doesnt seem to be helping. Killing myself every year seems like a good option. At least I'll accomplish something great by doing so...
2826,completely worthless,i cant seem to do anything for myself anymore. i can't make little simple decisions without freaking out or crying.
2827,sick of livin' a poem on my suicidal life,the pain of death and dying
2828,continuing my two month plan,i'm sorry to keep making new posts about this but today was the last time i will see the girl that runs the bible study at school. last week i was really upset and made the mistake of revelaing my two month suicide plan (not the whole thing) she wanted to help me as much as she could but today i told her to forget about me and to forget what i said. i really wanted to tell her more...i wanted to tell her why i no longer wanted to seek counseling and at the core of why i feel hopeless is because important things in my life no longer matter. should i try to call her and tell her or would this be a waste of her time....a further waste mind you.
2829,Not to many options,I don't know why I am writing. I guess it is because there is a small part of me that doesn't want to do what I am going to do.
2830,SUICIDAL TENDENCIES,"SUICIDE IS NOT THE ANSWER, PEOPLE!! Please, I beg you... I've been there... tried it. There's a GOOD REASON WHY I WASN'T SUCCESSFUL IN MY ATTEMPTS AT SUICIDE... Please visit my website by clicking on my profile. You will find all the help you need. It's only a NAME away. Plus, if you'd like to talk, you can feel free to e-mail me. You'll get my e-mail off of my web site. PLEASE DON'T MAKE AN ETERNAL MISTAKE!!!"
2831,i despise myself,"over the past couple of weeks, after a 8 years of on-off depression/OCD/anorexia, ive had a few moments where ive come very close to suicide. essentially it comes down to issues i have with relationships (i find them stifling or i mess them up), the issues ive always had with self esteem , paranoia, body loathing, etc as well as being very prone to depression. my parents dont *do* mental illness."
2832,Not so long to go...,"Okay, I have just found this forum few weeks ago, and just felt telling about up- and downhills of my life. This is not only about suicide, so I hope forum is a right one.."
2833,friend of mine always wanting to die..please help,"my female friend, has always told me that sometimes she wants to kill her self, and doesnt see any reason to live. She says sometimes she feels as if part of her body gives out, or her boyfriend sometimes wants to have time alone, and the only person she can talk to is me. She is a very attractive female, but yet she says she always feel over weight and ugly...it hurts me like hell that she is pushing her self to these limits. I would do anything for her. If anyone can give me any advice, to cheer her up and to lessen her ideals to commit suicide..and to not be so depressed all the time, it would be much appreciated, this girl has so much potential and such a great personality to just let go to waste.."
2834,Down in the dumps....again.,"Once again im seeing symptoms of depression and suicide in my life,it's like a fly on the wall that just wont go away.You want to kill it but its just out of your reach,thats how I feel right now.I'm feeling pretty helpless when it comes to life in general,im not a ""normal"" person i dont think like everyone else does I like think outside the box so to say."
2835,"Everything is caving in on me, when will it stop","I just feel everything is caving in for the past 2 months. I hate my job and they are screwing me around and trying to force me out of the door, it is hitting me more financially and then the relationship with the girl I work with. It is the triple effect and I cannot stand it anymore."
2836,"friend thinks she has no friends, and boredom overwhelms","I know alot of people say this, but she says no one loves her..and shes constantly being blown by everyone not wanting to ever talk because they also have their *own* problems, which means their ""working"", but the only person she can really talk to is me. I have no idea what to say when she says these things. Im not the best person a bringing up conversations. No idea what to do, stuck in a loop..hurts me to see her like this."
2837,I can't find a reason to be here.,"I dont know how to start this,"
2838,I'm gone...,"I'm not sure if anyone will really care, but it's my time to go... I just came to this sight and saw that I could post this and I am...I don't think theres anything for me out there anymore and I should just go with out hurting anyone...Who would even care so whats the fricken point... None of you care, my friends probably won't , who will?... The anwser is no one.I feel like it's my time and I need to go. Every day is just another day of carelessness. Being depressed and just being sad... I can't stand being here any more so, this is the best option, to kill my self.. Maybe I'll be happier dead... The day's of crawling out of my bed every morning is not worth the effort.. And it's just time for the final goodbye to the world.. Maybe one day people will realize why I did it.. because there isn't one thing good for me, and theres nothing worth my fricken while to live for so... as I said before I shall say my final goodbye."
2839,It's over...,"I hope it is okay to post this here. I don't know anyone on this site, but I just want this simple space for my last thoughts. This isn't a post about all my problems or anything like that...it's just a simple goodbye to the people who love me. Something solid, that they will maybe find one day and understand why I did this. I love you... I will see you in the next life. The pain is too much to bare...I tried to be strong, but it just faded away. Take care. xxx."
2840,I care too much.,"so why is it that every second of the past two days has been devoted to one of my friends? maybe the fact that i STILL haven't heard from her. the only things that i have been hearing is from the one person that was on the phone with her a few minutes after she slit her wrists. she is in the hospital is what i am told. i want to talk to her so bad. i want to know that she is ok. i have known her for 7 years of my life, of course some of the time was spent not talking to her (what can i say? its called being in middle school) but the past two years i have gotten close to her. i want to call her. but i KNOW she isn't home. she isn't online and that just reinfoces the story that i am hearing from this girl. i don't want to call and her mother yell at me. i just realized that i have her cell but its too late for me to call. i dont know how much longer i can last without knowing if she is ok. i don't want to lose her. she may not be my closest friend, but she is a hell of a lot more easier to talk to then my Best friend so you have to understand that she still is important in my life. she makes me laugh. and im scared. im scared that i will lose her. i could be freaking out for nothing. once again. thats me. worry worry worry. and the worst part about it is that its about 4 of us at school that know why she isn't there. we don't want rumors to spread considering that 90% of the school hates her and the other 9% doesn't care but the 1% consists of me and like 2 other people. it's a hell of a bday present... thats for sure. but i can't think about me at the moment."
2841,Why does anyone care?,"I'm seriously pissed at people who all the sudden give a care about me when I'm depressed and suicidal, its hypocritical and makes me want to leave this fake world more than stay. I hate hypocrites. I hate my ""friends."" I hate my life."
2842,Suicide: Is it the only way out?,I've had a couple of personal experiences with regards to people taking their own lives and I have considered doing it myself. I just wanted to share my experiences with the rest of this board and offer a little advice from my own personal experience.
2843,im lost,i am so confused i dont even know where to start mabye i shouldent mabye i should just end it all
2844,stressed out with everything,i try so hard to me be.... i want to be who i am and be accepted for who i am not for who i am not..... high school is just one big popularity contest and its stupid on how we percieve eachother....
2845,wow guys,"i jsut wanted to note that im not feeling my best. im a guy who isnt very manly. i dont know how to. my attempts keep failing. im just so tired of myself. i dont like who i see in the mirror. i wish i knew if there were really a God waiting on the other end to hurl me into hell for killing myself. otherwise, i will be lying peacfully at the bottom of the ocean. dont have to reply, im not killing myself anytime soon. just airing my pain. i cry at night. i wish i knew for sure if there is a God out there waiting to hurl me into hell. i just hate myself for my inability to pull myself together. im not killing myself, i just would if i knew the finality of the after life. until then, i will cry at night, and walk tough at day . cute."
2846,I am thinking of taking my life,I cant seem to get my life to work at all
2847,I'm that one guy....,"Hello people,"
2848,dealing with a death of a friend,my best friend Tony killed himsself in January of 2005..... 7 days after my B-Day.... anyway... its been awhile since then and yet i still miss him teribly...
2849,Wants to end all problems.. life is worse than I think! Help,Hi..!
2850,I should fade. Away from the pain..,
2851,i just need to talk,"please PM me if you are willing to help. i'min a slum, and i just need to talk to someone who won't judge me, or tell me i'm wrong."
2852,my day has already come,"the other day i posted on here for poeple to talk to me privately and help me out, i did that because i had no time to stay here and explain..."
2853,Im scared of what I will do....,"I have recently gone through a break up in my life, and that in itself has managed to change the complete direction in which my life was heading.."
2854,Everything seems too wrong...,I'm so confussed. I feel so alone in the world.. but when somebody tries to tell me I'm not alone and that other people are going through this I get mad... I just can't stop these horrible feelings... and I feel too afraid to end my life... and I can't see a future for myself and it's hard and I feel like nobody understands me and nobody cares. I'm loosing my soul and life seems to bleak to go on.. I need a cheer up...
2855,Just existing is not enough...,"It's not enough for me to just exist, as there seems no point to it. If I am a bag of self replicating proteins who's sole purpose is too simply grow, mature, replicate then why should I not go out into the world now rape as many women as I can before being cornered by the authorities and then kill myself? I'd pick those women who I'd have researched to be morally against abortion and simply play the numbers game on how many will keep the child in accordance with their values and beliefs."
2856,so....,"okay so here's the thing...i've decided to give myself two months before i try to kill myself. in these ttwo months i will do my best to find a better way through this. however during these months, i also am going to try to make sure i leave nothing behind as to not be a burden to those people around me (family i guess) today at work i went to the bathroom and cried and i've had a few other moments where i broke into tears. i'm not going to tell anyone this plan but i want to. yet, i know everyone is gonna give me so much crap for it without really understanding."
2857,My friend wants to die...,I don't know what to do My friend Adam says hes been thinking of taking his life. He called my cell phone I didnt pick up he left a message saying to call him back (which i didnt not knowing why he wanted to talk)
2858,I would NEVER think of killing myself here,"I'm in England right now, on vacation from the states with my dad. I would NEVER think of killing myself here. But the thing is, when i'm actually at home, I think about doing it all the time. It would be so easy. And I can't tell anyone. I have a boyfriend who ''loves'' me and I know he would do anything for me, and I don't want to hurt him. I guess that is the main reason why I stop myself all the time. I am going to see a psychologist for another reason, my mom sent me against my wishes."
2859,my friend needs serious help!!!,"he's being going out with this girl, his first true love, and he loves her with all his heart!!!"
2860,Lost Everything,I am having the most difficult time in life. As a brief overview of my life here it goes.
2861,I don't think I'm ok anymore,"I have been dealing with depression for a couple months now. Last night I woke up around 2am and all I could think about was... ending my life. That was litterly the first thought in my mind and was there for several hours. I have never had such intense self destructive thoughts before. Thankfully Im not that irrational, but its scaring me that Im beginning to think and feel this way. I just am starting to lose hope that anything will get better... there doesnt seem to be a break in the weather. I Just want out and part of me feels that is the only possible way to get rid of these feelings. This is really inconvienent for me because I am now a senior in high school, and I skip school a lot because I feel too depressed to go and I can't stand to be around people. My grades from last semester are not to my potential at all... it seems that everything is going in a spiraling downfall. Im in a pit... Im sinking deeper, I want to find another way out but whats the point of getting out if I Just have to continue living?"
2862,I am really stressed out,Ok lately I have been really stressed out to the point of wanting to die. My mom told me that she wanted to die because I don't live with her. Well in December I will be moving in with her and I don't know how long
2863,I dont kno what to do,I really dont kno what to do bcuz like i feel as tho i have no1 that actully cares about me i mean my mother tells me im not wated and my father is just out of the pictuer and i thought suicide was the best answer and i really dont kno what to do some1 please help me
2864,WHY DID HE HAVE TO GO?¿,Hi everone.
2865,ive got nothing left to prove,"hi, i know you dont care but here it is anyway. all my friends are mad at me at school. all my friends online think i do things for attention and i honestly dont, they are my closest friends and they obviously dont know me at all. i had a fight with my dad it wasnt good, he told me he's gonna take me out of therapy because its not helping. my therapist doesnt care about me anymore, im just another paycheck to him. ive been cutting again...ALOT.i have nothing left to live for, imagine you were in my situation, could you live through this? how? im done here i have nothing left to give nothing else to lose nothing else at all i have nothing left to prove."
2866,so confused,"i promised myself that id never do it ever again but i did, i've just take 47 painkillers with a glass of neat vodka, i feel so scared now, its for the best though i just cant cope wih my life anymore my mum is making it unbearable forever bullying me i feel bad cos i no what im gonna put my dad through but i feel like its gonna be best for me to finish it now, is fairer, no more arguing no tears no shouting shell have what she always wanted me gone she said she regrets having me and she told arlene to never get pregnant as it scrwes your life, i just confused im cant stop crying and i feel ill, makes it worse she is acting like nothing happened im shaking and can barely see through tear so im sorry if this is muddled, i really do love my dad always will just so long as someone no's that ill be k."
2867,Questions about recovering,"Well to make a long story short, I planned to kill myself last june. The date was picked and all, then my parents found out and I chose not to go through with it."
2868,Is he Dead!!!!!!!(cry),"hey people, I'm a little conserned... See i have a very close friend on this site and My computer has been down for a while now so i haven't been able to talk to him and he was mad at me and I just got my computer back up and working today and read his post and It was about suicide and he only posted once on it and that was it, and no one here really talked to him or replyed there were only like 3 relplys on it and He takes things out on himself hard..."
2869,Helping a friend with post-suicide,"I was informed that a close friend attempted suicide. She is calling for me to help her and support her. Of course I will be there for her and not judge her, but other than listening and such I would like to ask for any advice in helping her through this rough time."
2870,THIS CLOSE,I am 14 female + I am this close to finishing it all.
2871,Don't want to go on......,"My wife and step son moved out about a year ago, because she said she couldn't handle my anger and mood swings any longer. I seem to get angry at the drop of a hat about the most trivial things. Since then I have become extremely lonely and isolated. I grew up as an only child and it is very hard for me to socialize with others. My wife keeps telling me that she loves me and will come back if I get a handle on my anger and mood swings, but I don't seem to be able to."
2872,I could die tomorrow.. but how is that different from today?,"I don't understand this anymore. All this mess seems as if it were made for me. I hardly know why I am writing this, perhaps it is to try to make someone care for me, anyone. For when there is no one that listens to your cries, your pleads, there is nothing left to move on or prove. I have nothing, thereforeeee I am, nothing. In this world of violent decay and rancid blood pouring from all our lies, what am I to love or cherish? What am I to believe in? What is there here? I will be dead in 60 or less years, we all will. There is nothing to save us, we are all like the stars, we are alone in the universe, there are others there, we are afraid just floating in our empty vaccuums of time, then we shine so vibrantly, but only before we die. It is a world, and what a world. A world where you can slit your wrists, and carve your skin, only to see the next sunrise. The sun rises red with the blood you have shed upon it, and it hates you. Everyone misses the sun, but you or I will not be missed. Faith is never enough reason to believe everything, or anything will be okay. Nothing in this world ever changes, everyproblem is always replaced with a new decay. Whilst all the while your vacant heart smoulders from the fires of hell you have placed in, within a world, within nothingness. Broken, tattered, shamed. The only reason we are here is to die. The only thing I have is death, so tell me, someone in this forsaken earth, tell me... how can anything be okay again... what is wrong with me... what is happiness... why should I live? For the many hours and days that passes me by, all these deceiving seconds turn into minutes and years, I get older, but as I do I fear I am closer to my end. For who really cares whose stupid life is lost? There is nothing here to miss me. I can kill myself now.. because I'm dead in the eyes of this tainted world."
2873,I want to die..,"The possibility of failure is too much for me; I really don't want to live anymore. I've been deluding myself with grandeur visions of law school, or grad school when it's not going to get any better. I might transfer to a different school, but it won't matter much. I just don't want to try anymore, I don't want to acknowledge failure any further. I don't know if I will be able to do it, but I know I don't want to live anymore. I think I need help, although I don't know who to talk to. No one really understands me. It is a selfish act because my family would be devastated, along with a few friends, but I really don't want to live. Typing this is simply an acknowledgement of my recognition of failure, frustration and feeling of dejection. The only way I will be content with life is if I have a challenging and satisfying job, and by the looks of it, I'm not even sure if I'll make graduation. I just want out. It may be a narrow view, but only if I can turn my life around can I be happy and I'm not sure if I can do that. I've tried in the past and it didn't happen; the probability for future success is just as slim. I want out."
2874,I wanted to curl up in a little ball.,ok. at the moment. i am overwhelmed with so many different feelings that i want to just run. run until my legs give out.
2875,I need advice.,"Ok, so I am in a very sticky situation. But before I begin, I want to keep this as anonymous as possible(I even created a whole new account just incase).... so let me just say:"
2876,"Its okay 2 look at our ""Shadow / Dark"" side-We ALL",From a book I'm reading on the hidden power that lies within our darkside.....and being able to meet our darkside.
2877,How do I help my girlfriend?,"Hi,"
2878,UGh....advice please,ok so i dont know how soon someone can get back to me with some advice...but i need to write on here my ex-boyfriend of like 3 days...just IMED me telling me he needs someone to talk to because he feels like hes going crazy and he is thinking about killing himself...he wants me to come see him..i said no i would either just talk to him on the phone or online...ugh what am i supposed to do....i dont know if he is being serious..or if it is just another way to manipulate me
2879,am i??,ok i have been grounded for a week now when i first got grounded i really thought about suicide.then i got in another fight with my parents and i thought about it again and it scared me alot.am i suicidail? its not the first time i have about it but not in so much detail and ihave barely anything to live for any more like before it was because i had boyfriend but now there is even less.so what do i do i haven't told anyone cuz i dont want anyone to know and i dont want anyone thinking i just want attention.And the other night i took a saftey pin and my knukles r screwed and it helped me alot i guess instead of me cuttin i mess wit my knuckles and if anyone asks what i did i'll just say i got mad and punched the wall and this is waht happened.and i dont cut my wrists cuz i m afaird of cuttin to deep and comitting suicide so what is wrong wit me????
